painting	paintingLabel	depictedLabels	depicteds	Genre
http://www.wikidata.org/entity/Q17036232	Triptych of the Virgin's Life	Virgin Mary@Jesus@Annunciation@biblical Magi@angel@adoration@Child Jesus	http://www.wikidata.org/entity/Q345@http://www.wikidata.org/entity/Q302@http://www.wikidata.org/entity/Q154326@http://www.wikidata.org/entity/Q51671@http://www.wikidata.org/entity/Q235113@http://www.wikidata.org/entity/Q851918@http://www.wikidata.org/entity/Q942467	Religion
http://www.wikidata.org/entity/Q17066005	Pietà	Virgin Mary@Jesus@Mary Magdalene	http://www.wikidata.org/entity/Q345@http://www.wikidata.org/entity/Q302@http://www.wikidata.org/entity/Q63070	Religion
http://www.wikidata.org/entity/Q3946901	The Saints Cosmas and Damian with their Brothers before the Proconsul Lysias	halo@proconsul@Damian@Cosmas@sibling group	http://www.wikidata.org/entity/Q3341893@http://www.wikidata.org/entity/Q2912782@http://www.wikidata.org/entity/Q11841130@http://www.wikidata.org/entity/Q11841156@http://www.wikidata.org/entity/Q16979650	Religion
http://www.wikidata.org/entity/Q3884945	The Agony in the Garden	Agony in the Garden	http://www.wikidata.org/entity/Q2467856	Religion
http://www.wikidata.org/entity/Q3947103	Saint Francis of Assisi and scenes of his life	bird@tower@demon@angel@aureola@stigmata@seraph@Francis of Assisi@Gospel Book@religious habit@friar franciscan	http://www.wikidata.org/entity/Q5113@http://www.wikidata.org/entity/Q12518@http://www.wikidata.org/entity/Q177413@http://www.wikidata.org/entity/Q235113@http://www.wikidata.org/entity/Q374192@http://www.wikidata.org/entity/Q190940@http://www.wikidata.org/entity/Q194077@http://www.wikidata.org/entity/Q676555@http://www.wikidata.org/entity/Q690851@http://www.wikidata.org/entity/Q914668@http://www.wikidata.org/entity/Q90879952	Religion
http://www.wikidata.org/entity/Q2604155	Lamentation of Christ	Jesus@woman@man@long hair@Mary Magdalene@lamentation of Christ	http://www.wikidata.org/entity/Q302@http://www.wikidata.org/entity/Q467@http://www.wikidata.org/entity/Q8441@http://www.wikidata.org/entity/Q14130@http://www.wikidata.org/entity/Q63070@http://www.wikidata.org/entity/Q3155356	Religion
http://www.wikidata.org/entity/Q2500226	The Deposition	Jesus@Virgin Mary@woman@man@tree@John the Apostle@ladder@Calvary@Joseph of Arimathea@Nicodemus@Descent from the Cross@tomb of Jesus	http://www.wikidata.org/entity/Q302@http://www.wikidata.org/entity/Q345@http://www.wikidata.org/entity/Q467@http://www.wikidata.org/entity/Q8441@http://www.wikidata.org/entity/Q10884@http://www.wikidata.org/entity/Q44015@http://www.wikidata.org/entity/Q168639@http://www.wikidata.org/entity/Q170516@http://www.wikidata.org/entity/Q271474@http://www.wikidata.org/entity/Q295084@http://www.wikidata.org/entity/Q13365963@http://www.wikidata.org/entity/Q7818625	Religion
http://www.wikidata.org/entity/Q323155	Marienaltar	Jesus@Virgin Mary@sky@baby@woman@man@boy@unicorn@bed@Apostle@Nativity of Jesus@biblical Magi@pearl@Joseph@shoe@Assumption of Mary@sceptre@rosary@belt@virginity@Child Jesus@angel@throne@fur@robe@tile@Adoration of the Magi@brocade@palm branch@Coronation of the Virgin@incense@scroll@adoration@magi@halo@paradise@pomegranate@buckle@bugle@candle	http://www.wikidata.org/entity/Q302@http://www.wikidata.org/entity/Q345@http://www.wikidata.org/entity/Q527@http://www.wikidata.org/entity/Q998@http://www.wikidata.org/entity/Q467@http://www.wikidata.org/entity/Q8441@http://www.wikidata.org/entity/Q3010@http://www.wikidata.org/entity/Q7246@http://www.wikidata.org/entity/Q42177@http://www.wikidata.org/entity/Q43412@http://www.wikidata.org/entity/Q51628@http://www.wikidata.org/entity/Q51671@http://www.wikidata.org/entity/Q43436@http://www.wikidata.org/entity/Q128267@http://www.wikidata.org/entity/Q22676@http://www.wikidata.org/entity/Q162691@http://www.wikidata.org/entity/Q152065@http://www.wikidata.org/entity/Q132539@http://www.wikidata.org/entity/Q134560@http://www.wikidata.org/entity/Q170538@http://www.wikidata.org/entity/Q942467@http://www.wikidata.org/entity/Q235113@http://www.wikidata.org/entity/Q189233@http://www.wikidata.org/entity/Q197204@http://www.wikidata.org/entity/Q345127@http://www.wikidata.org/entity/Q468402@http://www.wikidata.org/entity/Q488841@http://www.wikidata.org/entity/Q649022@http://www.wikidata.org/entity/Q696809@http://www.wikidata.org/entity/Q1093370@http://www.wikidata.org/entity/Q273131@http://www.wikidata.org/entity/Q720106@http://www.wikidata.org/entity/Q851918@http://www.wikidata.org/entity/Q876933@http://www.wikidata.org/entity/Q3341893@http://www.wikidata.org/entity/Q3363340@http://www.wikidata.org/entity/Q13222088@http://www.wikidata.org/entity/Q1135567@http://www.wikidata.org/entity/Q1628293@http://www.wikidata.org/entity/Q12888135	Religion
http://www.wikidata.org/entity/Q17036401	Madonna Standing	angel	http://www.wikidata.org/entity/Q235113	Religion
http://www.wikidata.org/entity/Q3947206	Saint George	spear@dragon@man@Saint George@long hair@blond hair@body armor@contrapposto@akimbo	http://www.wikidata.org/entity/Q44475@http://www.wikidata.org/entity/Q7559@http://www.wikidata.org/entity/Q8441@http://www.wikidata.org/entity/Q48438@http://www.wikidata.org/entity/Q14130@http://www.wikidata.org/entity/Q202466@http://www.wikidata.org/entity/Q485027@http://www.wikidata.org/entity/Q514847@http://www.wikidata.org/entity/Q16002303	Religion
http://www.wikidata.org/entity/Q3947190	The Apostle James the Elder	man@James the Great	http://www.wikidata.org/entity/Q8441@http://www.wikidata.org/entity/Q43999	Religion
http://www.wikidata.org/entity/Q17583670	Nativity	wheel@Virgin Mary@house cat@night@star@Columbidae@couple@ox@foal@Joseph@Child Jesus@sheep@lantern@cowshed@mare@donkey	http://www.wikidata.org/entity/Q446@http://www.wikidata.org/entity/Q345@http://www.wikidata.org/entity/Q146@http://www.wikidata.org/entity/Q575@http://www.wikidata.org/entity/Q523@http://www.wikidata.org/entity/Q10856@http://www.wikidata.org/entity/Q219160@http://www.wikidata.org/entity/Q473194@http://www.wikidata.org/entity/Q45614@http://www.wikidata.org/entity/Q128267@http://www.wikidata.org/entity/Q942467@http://www.wikidata.org/entity/Q7368@http://www.wikidata.org/entity/Q862454@http://www.wikidata.org/entity/Q681337@http://www.wikidata.org/entity/Q1104034@http://www.wikidata.org/entity/Q3537778	Religion
http://www.wikidata.org/entity/Q3945921	Christ with the Four Evangelists	Jesus@man	http://www.wikidata.org/entity/Q302@http://www.wikidata.org/entity/Q8441	Religion
http://www.wikidata.org/entity/Q3945928	Christ Blessing	Jesus@man@Salvator Mundi	http://www.wikidata.org/entity/Q302@http://www.wikidata.org/entity/Q8441@http://www.wikidata.org/entity/Q51625	Religion
http://www.wikidata.org/entity/Q3945930	Christ the Redeemer	Jesus@man	http://www.wikidata.org/entity/Q302@http://www.wikidata.org/entity/Q8441	Religion
http://www.wikidata.org/entity/Q3944472	Holy family with Saints John the Baptist and Elizabeth	Virgin Mary@woman@boy@Child Jesus@Child Saint John	http://www.wikidata.org/entity/Q345@http://www.wikidata.org/entity/Q467@http://www.wikidata.org/entity/Q3010@http://www.wikidata.org/entity/Q942467@http://www.wikidata.org/entity/Q1698874	Religion
http://www.wikidata.org/entity/Q3944473	Madonna and Child with Saints	Virgin Mary@woman@boy@Jerome@Child Jesus	http://www.wikidata.org/entity/Q345@http://www.wikidata.org/entity/Q467@http://www.wikidata.org/entity/Q3010@http://www.wikidata.org/entity/Q44248@http://www.wikidata.org/entity/Q942467	Religion
http://www.wikidata.org/entity/Q3944474	The Holy Family with Angels	Virgin Mary@woman@boy@Child Jesus	http://www.wikidata.org/entity/Q345@http://www.wikidata.org/entity/Q467@http://www.wikidata.org/entity/Q3010@http://www.wikidata.org/entity/Q942467	Religion
http://www.wikidata.org/entity/Q3944476	Holy Family with St. John the Baptist	Virgin Mary@woman@boy@Child Jesus@Child Saint John	http://www.wikidata.org/entity/Q345@http://www.wikidata.org/entity/Q467@http://www.wikidata.org/entity/Q3010@http://www.wikidata.org/entity/Q942467@http://www.wikidata.org/entity/Q1698874	Religion
